period,shopkeeper_term,n_collocations,avg_lambda,avg_count,max_lambda
1872-1894,坊主,7,4.926473309065302,5.571428571428571,11.257035983902634
1872-1894,店主,483,4.178452467323446,9.761904761904763,17.571090608308555
1872-1894,店主婦,2,4.357378584255267,5.5,6.043824325409954
1872-1894,店家,27,4.102439144884393,8.555555555555555,9.05750504245313
1872-1894,店東,9,4.21207651293158,6.222222222222222,9.035948796977237
1872-1894,掌櫃,14,5.788087543149136,8.071428571428571,13.826939354594343
1872-1894,東主,4,5.077939880457774,5.75,8.224269437845608
1872-1894,東家,168,5.109684923452926,24.642857142857142,17.42799046627407
1872-1894,棧主,136,4.653083723986694,13.448529411764707,17.42799046627407
1872-1894,業主,11,4.840128722540177,6.7272727272727275,10.173873738249346
1872-1894,莊主,23,6.807968005245558,6,12.385694154621373
1872-1894,號主,49,7.619738176097077,6.26530612244898,17.42799046627407
1872-1894,行主,122,5.321568432237035,6.836065573770492,17.42799046627407
1872-1894,鋪主,15,3.467968122764467,6.733333333333333,8.883612937908026
1872-1894,館主,46,7.026102132510941,7.195652173913044,16.162324092942796
1895-1911,商户,1,8.317024466084689,5,8.317024466084689
1895-1911,坊主,20,6.732611337458819,7.05,14.137682931570831
1895-1911,店主,791,5.474432354073122,10.415929203539823,18.010779555975237
1895-1911,店主婦,12,5.683566079282008,5.916666666666667,10.065181257055814
1895-1911,店家,10,5.02389640074358,5.1,8.973341300835603
1895-1911,店東,25,6.731630445051969,5.76,17.440238162840092
1895-1911,掌櫃,6,4.000485880659728,5.166666666666667,5.790592499076675
1895-1911,東主,3,5.920795093365803,8.333333333333334,9.154012991276513
1895-1911,東家,21,5.192349697048726,7.095238095238095,11.583659340816926
1895-1911,棧主,235,5.173323023253649,8.54468085106383,17.58333831341523
1895-1911,業主,41,4.366430681282145,7.439024390243903,9.887198359438402
1895-1911,莊主,81,6.810469637608229,7.037037037037037,17.27318477124198
1895-1911,號主,138,8.657472032352759,6.579710144927536,17.58333831341523
1895-1911,行主,343,6.477771217500031,7.533527696793003,17.440238162840092
1895-1911,鋪主,7,3.157752727135633,7.714285714285714,7.244845838474655
1895-1911,館主,92,5.88753457093134,6.717391304347826,17.58333831341523
1912-1927,商户,1,6.545746536411987,5,6.545746536411987
1912-1927,坊主,37,5.598716092600418,6.756756756756757,16.372219921266467
1912-1927,店主,1095,4.439458802908882,12.186301369863013,19.080271352979306
1912-1927,店主婦,6,5.963264441036305,5.166666666666667,8.294089077677455
1912-1927,店家,94,4.532213900470747,7.585106382978723,11.092549144703494
1912-1927,店東,197,4.259644692240609,10.248730964467006,11.195300752685087
1912-1927,掌櫃,7,7.696586463555655,8.571428571428571,13.111537949852666
1912-1927,東主,21,5.876135244866168,6.095238095238095,11.036522646009454
1912-1927,東家,56,4.942249497243931,7.535714285714286,16.7578816988717
1912-1927,棧主,121,5.31519987121407,8.363636363636363,19.29158009504363
1912-1927,業主,387,4.528786951994323,8.317829457364342,15.811736949036804
1912-1927,莊主,35,8.71221361169804,6.885714285714286,19.4659331305854
1912-1927,號主,99,8.946159889068321,8,19.7435641639773
1912-1927,行主,76,7.518710280331895,7.052631578947368,19.080271352979306
1912-1927,館主,81,7.993671199234564,10.555555555555555,19.382551697447866
1928-1937,坊主,5,8.198593969078418,5.6,17.5678911906745
1928-1937,店主,445,4.423839856927742,8.874157303370787,16.81515053648428
1928-1937,店主婦,15,5.36760693071828,6.533333333333333,11.225168809092011
1928-1937,店家,57,5.741067911142028,11.298245614035087,12.86313816749901
1928-1937,店東,26,5.156274552821866,6.6923076923076925,9.762765646553774
1928-1937,掌櫃,26,7.871461942850085,7.384615384615385,15.605312612705944
1928-1937,東主,6,8.063480944208665,14.166666666666666,13.043587930127536
1928-1937,東家,48,5.163021829452067,8.541666666666666,13.404900394386344
1928-1937,棧主,13,7.353023772997008,7.230769230769231,13.417454408943396
1928-1937,業主,1178,4.250755355214915,10.852292020373515,15.263082727814515
1928-1937,莊主,18,8.030548606735685,6.166666666666667,19.101821206493625
1928-1937,號主,34,11.383969166552193,6.411764705882353,18.833557564005776
1928-1937,行主,24,10.307349581376545,6.458333333333333,18.00320874577206
1928-1937,館主,23,9.949494155654936,7.086956521739131,19.101821206493625
1938-1949,店主,153,5.30287252994118,8.908496732026144,17.839302944330296
1938-1949,店家,48,5.72926098678515,6.875,16.740690262191904
1938-1949,店東,12,5.65015470839439,10,13.846560259154433
1938-1949,掌櫃,5,8.193528749389236,6.8,14.043260359494417
1938-1949,東主,8,8.787301878237713,7.25,12.319323437367723
1938-1949,東家,8,6.2523464097682595,8.125,9.826889435766795
1938-1949,業主,720,4.078144346149443,10.29861111111111,17.839302944330296
1938-1949,莊主,1,18.00635663552318,6,18.00635663552318
1938-1949,號主,10,9.175992557144202,6.4,18.00635663552318
1938-1949,行主,2,10.317310710360019,5,13.244179552957593
1938-1949,館主,15,8.451426266648804,7.866666666666666,17.176007153037975
